order_id,customer_id,order_date,status
ORD-00001,CUST-0374,2023-09-14,Completed
ORD-00002,CUST-0358,2023-08-09,Returned
ORD-00003,CUST-0205,2024-10-09,Returned
ORD-00004,CUST-0131,2024-11-03,Completed
ORD-00005,CUST-0241,2024-08-21,Returned
ORD-00006,CUST-0363,2024-01-21,Completed
ORD-00007,CUST-0385,2023-12-26,Completed
ORD-00008,CUST-0135,2023-08-16,Returned
ORD-00009,CUST-0292,2024-07-18,Completed
ORD-00010,CUST-0004,2023-03-04,Completed
ORD-00011,CUST-0071,2023-07-17,Pending
ORD-00012,CUST-0431,2023-04-09,Returned
ORD-00013,CUST-0471,2023-12-27,Returned
ORD-00014,CUST-0245,2023-08-07,Completed
ORD-00015,CUST-0409,2023-05-25,Pending
ORD-00016,CUST-0128,2023-10-02,Completed
ORD-00017,CUST-0482,2024-09-20,Completed
ORD-00018,CUST-0290,2024-02-12,Completed
ORD-00019,CUST-0138,2024-08-23,Returned
ORD-00020,CUST-0274,2024-10-29,Pending
ORD-00021,CUST-0315,2024-10-20,Completed
ORD-00022,CUST-0096,2023-09-14,Completed
ORD-00023,CUST-0450,2024-10-02,Completed
ORD-00024,CUST-0123,2024-10-25,Completed
ORD-00025,CUST-0347,2024-12-01,Completed
ORD-00026,CUST-0329,2023-09-14,Completed
ORD-00027,CUST-0157,2023-06-16,Completed
ORD-00028,CUST-0336,2024-03-02,Returned
ORD-00029,CUST-0396,2024-11-11,Completed
ORD-00030,CUST-0370,2024-10-19,Returned
ORD-00031,CUST-0241,2024-02-21,Completed
ORD-00032,CUST-0054,2023-04-19,Completed
ORD-00033,CUST-0424,2023-11-05,Completed
ORD-00034,CUST-0264,2024-06-05,Completed
ORD-00035,CUST-0254,2024-02-14,Completed
ORD-00036,CUST-0181,2023-09-10,Completed
ORD-00037,CUST-0475,2023-09-08,Completed
ORD-00038,CUST-0485,2023-02-13,Completed
ORD-00039,CUST-0104,2023-07-30,Completed
ORD-00040,CUST-0226,2024-05-03,Completed
ORD-00041,CUST-0101,2023-06-26,Completed
ORD-00042,CUST-0361,2024-12-26,Completed
ORD-00043,CUST-0217,2023-03-02,Completed
ORD-00044,CUST-0276,2024-03-05,Completed
ORD-00045,CUST-0285,2023-12-29,Completed
ORD-00046,CUST-0219,2024-08-31,Completed
ORD-00047,CUST-0498,2024-10-10,Pending
ORD-00048,CUST-0089,2024-02-01,Completed
ORD-00049,CUST-0378,2024-04-05,Completed
ORD-00050,CUST-0081,2024-05-25,Completed
ORD-00051,CUST-0193,2024-01-16,Completed
ORD-00052,CUST-0100,2023-05-15,Completed
ORD-00053,CUST-0008,2023-11-09,Returned
ORD-00054,CUST-0196,2023-06-26,Completed
ORD-00055,CUST-0209,2023-12-06,Completed
ORD-00056,CUST-0396,2024-03-25,Completed
ORD-00057,CUST-0050,2023-06-02,Completed
ORD-00058,CUST-0185,2023-07-02,Completed
ORD-00059,CUST-0012,2024-08-23,Completed
ORD-00060,CUST-0070,2023-10-03,Completed
ORD-00061,CUST-0460,2023-05-25,Pending
ORD-00062,CUST-0478,2024-06-04,Completed
ORD-00063,CUST-0393,2024-06-07,Pending
ORD-00064,CUST-0085,2024-08-26,Completed
ORD-00065,CUST-0253,2024-07-08,Returned
ORD-00066,CUST-0133,2024-12-25,Completed
ORD-00067,CUST-0157,2024-02-24,Completed
ORD-00068,CUST-0001,2023-07-29,Pending
ORD-00069,CUST-0083,2024-09-21,Completed
ORD-00070,CUST-0365,2023-07-13,Returned
ORD-00071,CUST-0476,2023-08-01,Completed
ORD-00072,CUST-0092,2024-08-27,Completed
ORD-00073,CUST-0100,2024-10-05,Completed
ORD-00074,CUST-0114,2023-09-05,Completed
ORD-00075,CUST-0434,2024-06-16,Pending
ORD-00076,CUST-0384,2024-11-04,Returned
ORD-00077,CUST-0134,2024-08-06,Completed
ORD-00078,CUST-0416,2023-01-04,Completed
ORD-00079,CUST-0190,2024-04-30,Completed
ORD-00080,CUST-0096,2023-05-05,Completed
ORD-00081,CUST-0435,2024-09-09,Completed
